brand,title,start_time,distance,volumn,gear,tag,price
大众, 迈腾 2015款 改款 1.8TSI 豪华型-超高性价比,2015年,6万公里,1.8升,自动,放心购_会员3年,13.48
本田, 歌诗图 2012款 2.4L 豪华版-首付低 利率低 提车快,2014年,8.87万公里,2.4升,自动,放心购_低配,14.94
依维柯, 得意 2009款 2.5T 手动 A39 6座-查看更多车源欢迎点击进入店铺,2014年,7.2万公里,2.5升,手动,放心购_会员1年_可分期付,6.4
日产, 天籁 2006款 230JKS舒适天窗,2006年,12万公里,2.3升,自动,放心购_会员3年,2
雪佛兰, 迈锐宝 2013款 1.6T 自动舒适版-首付低 利率低 提车快,2014年,6.25万公里,1.6升,自动,放心购_会员1年,7.96
本田, 飞度 2006款 1.5 CVT 舒适版-贪便宜勿扰 喜欢精品车的来,2006年,10万公里,1.5升,自动,放心购_会员1年_可分期付,2
现代, 领动 2016款 1.6L 自动智炫·精英型-首付低 利率低 提车快,2018年,2.54万公里,1.6升,自动,放心购_会员1年,9.16
现代, 途胜 2009款 2.0L 自动两驱天窗型-首付低 利率低 提车快,2010年,11.41万公里,2.0升,自动,放心购_会员1年,5.18
依维柯, 得意 2009款 2.5T 手动 A39 6座-查看更多车源欢迎点击进入店铺,2014年,7.2万公里,2.5升,手动,放心购_会员1年_可分期付,6.4
雪佛兰, 迈锐宝 2013款 2.4L 自动旗舰版-价格可谈可以分期车况好,2013年,5.5万公里,2.4升,自动,放心购_高配_会员1年,7.6
日产, 骐达 2007款 1.6 手动 G时尚型-车况精品 到店详谈,2007年,10万公里,1.6升,手动,放心购_低配,2.7
大众, 迈腾 2013款 1.8TSI 豪华型-首付低 利率低 提车快,2013年,12.43万公里,1.8升,自动,放心购_会员1年,11.47
宝马, 5系 2011款 523Li 领先型-淡季大促 支持分期首付低至一成,2011年,6万公里,2.5升,自动,放心购_会员1年_可分期付,19.8
大众, 途安 2015款 1.4T 自动舒适版5座-首付低 利率低 提车快,2016年,3.03万公里,1.4升,自动,放心购_会员1年,11.56
别克, 英朗GT 2013款 GT 1.6L 手动进取版-首付低 利率低 提车快,2013年,5.1万公里,1.6升,手动,放心购_会员1年,5.62
本田, CRV 2013款 2.4L 两驱豪华版-首付低 利率低 提车快,2014年,11.42万公里,2.4升,自动,放心购_会员1年,14.13
江铃, 经典全顺 2009款 2.8T 手动 柴油多功能型短轴中顶JX493ZLQ3A-小型蓝牌 特价回馈,2010年,9万公里,2.8升,手动,放心购_会员3年,3.28
宝马, 7系 2008款 730Li经典版,2009年,10万公里,3.0升,自动,放心购_会员5年_可分期付,14.88
江铃, 经典全顺 2009款 2.8T 手动 柴油多功能型短轴中顶JX493ZLQ3A-12年全顺手续齐全可过户可分期,2012年,9.6万公里,2.8升,手动,放心购_会员1年_可分期付,5.2
依维柯, 得意 2009款 2.8T 手动 V35基本型-上海最大二手车全顺依维柯,2011年,8.22万公里,2.8升,手动,放心购_低配_会员1年,3.42
比亚迪, F0 2008款 1.0L 舒适型,2009年,9万公里,1.0升,手动,放心购_会员3年,0.6
大众, 速腾 2014款 1.4TSI 自动时尚型-首付低 利率低 提车快,2014年,6.17万公里,1.4升,自动,放心购_会员1年,8.8
北汽威旺, 威旺M50F 2017款 M50F 1.5L 舒适型-首付低 利率低 提车快,2017年,2.72万公里,1.5升,手动,放心购_会员1年,5.64
长安, 逸动EADO 2015款 1.6L 手动旗舰型-首付低 利率低 提车快,2015年,5.39万公里,1.6升,手动,放心购_会员1年,5.05
大通, G10 2014款 2.0T 自动 豪华行政版-到店成功购车赠送千元油卡或保养,2015年,6万公里,2.0升,自动,放心购_会员1年,11.9
哈弗, H6 2017款 红标 2.0T 自动两驱精英型-首付低 利率低 提车快,2017年,4.2万公里,2.0升,自动,放心购_会员1年,10.09
雪佛兰, 迈锐宝 2013款 2.0L 自动豪华版-精品私家车 性价比高,2013年,6万公里,2.0升,自动,放心购_会员4年,6.45
大众, 朗行 2015款 1.6L 自动舒适版-首付低 利率低 提车快,2016年,6.27万公里,1.6升,自动,放心购_会员1年_好评率85.0%,8.93
别克, 君越 2007款 2.4 豪华导航版,2007年,12万公里,2.4升,自动,放心购_会员1年_可分期付,2.2
马自达, 3昂克赛拉三厢 2016款 三厢 1.5L 自动舒适型-首付低 利率低 提车快,2016年,2.48万公里,1.5升,自动,放心购_会员1年,8.82
大众, 迈腾 2015款 改款 1.8TSI 豪华型-超高性价比,2015年,6万公里,1.8升,自动,放心购_会员3年,13.48
别克, GL8 2007款 陆尊LT 3.0 自动 豪华版-专业批发电动门陆尊,2009年,18万公里,3.0升,自动,放心购_高配_会员1年,4.88
荣威, ei6 2017款 45T 混动互联智享版-【上海社保近期满一年可以买车】,2018年,0.4万公里,1.0升,自动,放心购_低配_会员1年,13.25
日产, 奇骏 2014款 2.0L CVT智驱版 4WD-首付低 利率低 提车快,2015年,10.28万公里,2.0升,自动,放心购_会员1年,14.11
大众, 朗行 2014款 1.4TSI 自动30周年纪念版-首付低 利率低 提车快,2015年,5.79万公里,1.4升,自动,放心购_高配,8.77
福特, 蒙迪欧 2006款 2.0L 精英版,2006年,11万公里,2.0升,自动,放心购_会员3年,1.1
广汽, 传祺GS7 2017款 GS7 320T 两驱豪华智联型-首付低 利率低 提车快,2018年,0.73万公里,2.0升,自动,放心购_会员1年,14.43
江铃, 福特新世代全顺 2009款 2.4T 手动 标准型短轴中顶-11年新世代豪华七座车况原版,2011年,6.8万公里,2.4升,手动,放心购_会员1年_可分期付,6.9
江铃," 经典全顺 2009款 2.8T 手动 柴油标准型短轴中顶JX493ZLQ3-现车多,有质保,包提档过户",2012年,8.2万公里,2.8升,手动,放心购_会员1年_可分期付,4.3
路虎, 发现 2015款 3.0 V6 SC HSE-发现 2015款 3.0 V6 SC HSE,2015年,12.50万公里,3.0升,自动,放心购_会员1年,55.88
宝骏, 730 2016款 1.5 手动 舒适型7座-首付低 利率低 提车快,2016年,5.96万公里,1.5升,手动,放心购_会员1年,5.86
别克, 君威 2009款 2.4 手自一体 舒适版,2010年,8万公里,2.4升,自动,放心购_会员3年,3.95
丰田, 卡罗拉 2014款 1.6L CVT GL-首付低 利率低 提车快,2015年,6.01万公里,1.6升,自动,放心购_会员1年_好评率85.0%,9.21
大众, 高尔夫 2018款 230TSI 自动舒适型-首付低 利率低 提车快,2018年,2.09万公里,1.4升,自动,放心购_会员1年,12.33
奥迪, A4L 2011款 2.0 TFSI 运动型-私家一手车发变巅峰状态,2011年,6万公里,2.0升,自动,放心购_会员1年,10.2
福特, 福克斯三厢 2007款 三厢 2.0L 自动豪华型-全程4s店保养个人一手车,2007年,11万公里,2.0升,自动,放心购_高配_会员2年,2
日产, 骊威 2010款 劲锐版 1.6L 手动标准型-首付低 利率低 提车快,2011年,6.81万公里,1.6升,手动,放心购_会员1年,4.59
本田, XRV 2015款 1.8L EXi CVT舒适版-首付低 利率低 提车快,2015年,3.98万公里,1.8升,自动,放心购_会员1年,12.74
日产, 逍客 2017款 2.0L CVT精英版-首付低 利率低 提车快,2017年,2.8万公里,2.0升,自动,放心购_会员1年,13.04
宝骏, 730 2014款 1.5L 手动标准型 5座-首付低 利率低 提车快,2015年,5.14万公里,1.5升,手动,放心购_低配,5.14
别克, 凯越 2005款 1.6 手动舒适型,2005年,12万公里,1.6升,手动,放心购_会员3年,0.9
江铃, 福特新世代全顺 2009款 2.4T 手动 多功能型短轴低顶,2010年,9万公里,2.4升,手动,放心购_会员2年,6.29
大众, 速腾 2014款 1.4TSI 自动旗舰版-首付低 利率低 提车快,2014年,8.52万公里,1.4升,自动,放心购_会员1年,9.21
大众, 帕萨特 2005款 1.8T 自动基本型-店内300台二手车手续齐全正规,2005年,14万公里,1.8升,自动,放心购_会员2年,1.26
长安, CS35 2015款 1.6L 自动尊贵型 国IV-首付低 利率低 提车快,2016年,2.97万公里,1.6升,自动,放心购_高配,5.71
大众, 迈腾 2015款 改款 1.8TSI 豪华型-超高性价比,2015年,6万公里,1.8升,自动,放心购_会员3年,13.48
别克, GL8 2014款 2.4L CT豪华商务舒适版-国五排放本地一手车,2014年,6万公里,2.4升,自动,放心购_会员4年,15.3
别克, 凯越 2006款 1.6 自动舒适型,2006年,12万公里,1.6升,自动,放心购_低配_会员3年,1
斯柯达, 昊锐 2009款 1.8TSI 自动贵雅版-首付低 利率低 提车快,2012年,9.61万公里,1.8升,自动,放心购_会员1年,7.06
福特, 福克斯两厢 2013款 两厢经典 1.8L 自动时尚型-首付低 利率低 提车快,2016年,2.29万公里,1.8升,自动,放心购_高配,6.45
福特, 福克斯三厢 2015款 三厢 1.6L 自动风尚型-首付低 利率低 提车快,2016年,4.73万公里,1.6升,自动,放心购_会员1年,7.64
本田, 雅阁 2014款 2.0L EX 豪华版-首付低 利率低 提车快,2014年,10.49万公里,2.0升,自动,放心购_会员1年,13.83
奔驰, R级 2007款 R 350 L 4MATIC-御尊首选 精品车况,2008年,12.8万公里,3.5升,自动,放心购_低配_会员4年,12.8
奔驰, A级 2013款 1.6T 双离合-首付低 利率低 提车快,2014年,4.22万公里,1.6升,自动,放心购_会员1年,12.95
江铃, 经典全顺 2009款 2.8T 手动 柴油标准型短轴中顶JX493ZLQ3-上海最大二手全顺依维柯,2011年,8万公里,2.8升,手动,放心购_会员1年_可分期付,3.68
本田, 奥德赛 2015款 改款 2.4L 豪华版-双电动门 高配,2016年,5.5万公里,2.4升,自动,放心购_会员4年,17.8
吉普, 广汽自由光 2016款 2.4 专业版-首付低 利率低 提车快,2016年,7.59万公里,2.4升,自动,放心购_会员1年,14.36
吉利, 博瑞 2015款 2.4L 舒适型-首付低 利率低 提车快,2016年,6.49万公里,2.4升,自动,放心购_会员1年,9.31
荣威, ei6 2017款 45T 混动互联智享版,2018年,0.4万公里,1.0升,自动,放心购_低配_会员1年,12
宝马, X1 2012款 sDrive18i 豪华型-正规私家车 性价比高,2013年,6万公里,2.0升,自动,放心购_会员4年,12.2
吉利, 博越 2016款 1.8TD 自动智联型-首付低 利率低 提车快,2018年,0.98万公里,1.8升,自动,放心购_会员1年,10.57
本田, 雅阁 2014款 2.0L LX 舒适版-首付低 利率低 提车快,2015年,5.2万公里,2.0升,自动,放心购_低配,13.21
大众, 迈腾 2016款 2.0TSI 智享豪华型-首付低 利率低 提车快,2016年,3.35万公里,2.0升,自动,放心购_会员1年,15.34
丰田, 卡罗拉 2014款 1.6L CVT GL-首付低 利率低 提车快,2015年,7.4万公里,1.6升,自动,放心购_会员1年,8.64
依维柯, 得意 2014款 2.5T 手动 A35 NJ6485AC47Z4-14年依维柯车况原版无事故,2014年,8.1万公里,2.5升,手动,放心购_会员1年_可分期付,6.4
雪佛兰, 赛欧3 2015款 赛欧3 1.3L 手动温馨版-首付低 利率低 提车快,2015年,3.82万公里,1.3升,手动,放心购_低配,4.53
江铃, 经典全顺 2009款 2.8T 手动 柴油标准型长轴中顶JX493ZLQ3,2013年,7.9万公里,2.8升,手动,放心购_会员2年_可分期付,5.58
现代, 酷派 2006款 2.0L AT-保证无重大事故无泡水送一年质保,2007年,6.78万公里,2.0升,自动,放心购_低配_会员1年,2.88
标致, 2008 2015款 1.6L 自动玩酷版-首付低 利率低 提车快,2017年,3.65万公里,1.6升,自动,放心购_低配,8.29
江铃, 经典全顺 2009款 2.8T 手动 柴油多功能型短轴中顶JX493ZLQ3A-现车多多 包过户 可分期,2013年,8.76万公里,2.8升,手动,放心购_会员1年,4.6
本田, 思域 2012款 1.8L 自动舒适版-首付低 利率低 提车快,2012年,7.92万公里,1.8升,自动,放心购_会员1年,7.66
丰田, 威尔法 2019款 双擎 2.5L HV尊贵版-第一好车 车隆汇旗舰店,2019年,0.01万公里,2.5升,自动,放心购_会员2年_可分期付,108
吉利, 远景X3 2017款 X3 1.5L 自动尊贵型-首付低 利率低 提车快,2018年,3.27万公里,1.5升,自动,放心购_高配,5.88
比亚迪, 秦 2018款 1.5T 智联精英型-买车需要有上海社保 支持按揭,2018年,0.6万公里,1.5升,自动,放心购_会员1年,11.3
路虎, 神行者2 2013款 2.2T SD4 S柴油版-御尊首选 精品车况,2013年,7万公里,2.2升,自动,放心购_会员4年_可分期付,17.8
福特, 蒙迪欧 2005款 2.0L 精英版,2005年,11万公里,2.0升,自动,放心购_低配_会员3年,1
别克, 君威 2006款 2.5L 自动豪华-正规公司买车微聊,2006年,13万公里,2.5升,自动,放心购_高配_会员1年,1.08
WEY, VV7 2017款 VV7s 旗舰型-首付低 利率低 提车快,2017年,2.08万公里,2.0升,自动,放心购_高配,16.11
哈弗, H2s 2017款 红标 1.5T 手动舒适型-首付低 利率低 提车快,2016年,4.33万公里,1.5升,手动,放心购_会员1年_好评率85.0%,6.07
宝骏, 730 2016款 1.8 手动 豪华型7座-首付低 利率低 提车快,2016年,6.56万公里,1.8升,手动,放心购_会员1年,6.47
日产, 骐达 2011款 1.6L CVT智能型-首付低 利率低 提车快,2012年,9.36万公里,1.6升,自动,放心购_会员1年,6.66
别克, 英朗GT 2019款 18T 自动互联精英型-首付低 利率低 提车快,2019年,1.02万公里,1.3升,自动,放心购_会员1年,9.01
依维柯, 2012款 Daily 2.5T A32基本型-14年国四短轴中顶6座,2014年,5万公里,2.5升,手动,放心购_高配_会员1年,6.61
雪佛兰, 科鲁兹 2011款 1.8L SE AT,2011年,9万公里,1.8升,自动,放心购_会员3年,3.2
依维柯," 2009款 手动 2.8T V39 6座 柴油-精品车况,包办手续,有质保",2011年,8.6万公里,2.8升,手动,放心购_低配_会员1年,4.6
雷诺, 科雷傲 2009款 2.5 自动 2驱豪华型-首付低 利率低 提车快,2010年,10.82万公里,2.5升,自动,放心购_会员1年,6.94
现代, 索纳塔 2013款 2.4L 自动豪华版 国IV-首付低 利率低 提车快,2014年,7.63万公里,2.4升,自动,放心购_会员1年,8.74
福特, 福克斯三厢 2018款 三厢 1.6L 自动舒适型智行版-首付低 利率低 提车快,2018年,2.17万公里,1.6升,自动,放心购_会员1年,8.56
北汽威旺, 威旺S50 2016款 乐动版 1.5T 手动 豪华型-首付低 利率低 提车快,2018年,1.55万公里,1.5升,手动,放心购_会员1年,6.62
现代, 瑞纳 2014款 1.4L 手动智能型GLS-首付低 利率低 提车快,2014年,2.73万公里,1.4升,手动,放心购_会员1年,4.65
雪佛兰, 景程 2010款 1.8 舒适版 AT,2010年,9万公里,1.8升,自动,放心购_会员3年,2.3
哈弗, H2 2017款 红标 1.5T 自动两驱豪华型-首付低 利率低 提车快,2016年,2.59万公里,1.5升,自动,放心购_会员1年,7.25
大众, 高尔夫 2015款 1.4TSI 自动豪华型-首付低 利率低 提车快,2015年,6.3万公里,1.4升,自动,放心购_会员1年_好评率85.0%,10.29
宝马, 2系(进口) 2015款 218i 运动设计套装-首付低 利率低 提车快,2015年,5.93万公里,1.5升,自动,放心购_会员1年,15.42
奥迪, A3 2015款 Sportback 35 TFSI 百万纪念舒享型-首付低 利率低 提车快,2015年,7.94万公里,1.4升,自动,放心购_会员1年,13.31
大众, 迈腾 2015款 改款 1.8TSI 豪华型-超高性价比,2015年,6万公里,1.8升,自动,放心购_会员3年,13.48
现代, 名图 2014款 1.8L 手动舒适型GL,2013年,15万公里,1.8升,手动,放心购_低配_会员1年,4.28
福特, 福克斯两厢 2007款 两厢 1.8L 自动时尚型-店内300台二手车手续齐全正规,2008年,12万公里,1.8升,自动,放心购_会员2年,2.18
大通, MAXUS V80 2015款 2.5 手动 长轴中顶商杰版柴油-国5排放可全国提档,2016年,4万公里,2.5升,手动,放心购_高配_会员2年,11.78
奔驰, ML级 2008款 ML 350 4MATIC动感型-车况精品 可分期付款,2009年,21.4万公里,3.5升,自动,放心购_会员6年_可分期付,16.58
马自达, 睿翼轿跑 2011款 轿跑 2.0L 自动精英版-上海精品私家车,2012年,6万公里,2.0升,自动,放心购_低配_会员1年,6.08
大众, POLO劲取 2006款 劲取 1.6L 手动雅尊版-店内300台二手车手续齐全正规,2007年,13万公里,1.6升,手动,放心购_会员2年,1.52
丰田, 锐志 2010款 2.5V 风度菁英版-首付低 利率低 提车快,2013年,5.8万公里,2.5升,自动,放心购_会员1年,14.03
别克, GL8 2015款 2.4L 豪华商务尊享版-国五排放 私家车,2015年,6万公里,2.4升,自动,放心购_高配_会员4年,16
雪佛兰, 科鲁兹 2011款 1.8L SE AT-上海精品私家车,2011年,5.9万公里,1.8升,自动,放心购_会员1年,3.38
日产, 逍客 2017款 2.0L CVT精英版-首付低 利率低 提车快,2018年,2.92万公里,2.0升,自动,放心购_会员1年,12.15
宝骏, 310W 2017款 310W 1.5L 时尚型-首付低 利率低 提车快,2017年,2.24万公里,1.5升,手动,放心购_会员1年,4.98
大众, 速腾 2014款 1.4TSI 自动豪华型-首付低 利率低 提车快,2013年,7.28万公里,1.4升,自动,放心购_会员1年,8.43
雪佛兰, 科鲁兹 2009款 1.8L SE AT-包提档过户 可分期 支持检测,2009年,6.5万公里,1.8升,自动,放心购_会员1年_可分期付,2.8
凯迪拉克, SLS赛威 2011款 3.6 手自一体 旗舰版-御尊首选 精品车况,2011年,7.1万公里,3.6升,自动,放心购_高配_会员4年,8.6
福特, 蒙迪欧致胜 2012款 2.0L GTDi240旗舰运动版-车况精品无事故,2012年,6.9万公里,2.0升,自动,放心购_高配_会员1年,6.63
奥迪, A6L 2005款 2.0T 自动标准型,2006年,12万公里,2.0升,自动,放心购_会员3年,4.2
丰田, 卡罗拉 2011款 1.6L 自动GL,2010年,15万公里,1.6升,自动,会员2年,3.08
大众, 途安 2016款 途安L 280TSI 自动豪华版-首付低 利率低 提车快,2017年,6.86万公里,1.4升,自动,放心购_会员1年,12.4
大众, 甲壳虫 2010款 1.6 手自一体-首付低 利率低 提车快,2011年,4.37万公里,1.6升,自动,放心购_低配,7.66
日产, 天籁 2007款 2.3 自动 JK—S舒适版-店内300台二手车手续齐全正规,2007年,13万公里,2.3升,自动,放心购_会员2年,2.58
大众, 迈腾 2015款 改款 1.8TSI 豪华型-超高性价比,2015年,6万公里,1.8升,自动,放心购_会员3年,13.48
别克, 君威 2012款 2.0T GS超级运动版-车况精品无事故无泡水送一年质保,2013年,7.25万公里,2.0升,自动,放心购_高配_会员1年,7.88
大众, 途观 2015款 1.4TSI 手动两驱蓝驱版-259项检测 全国严选,2014年,9.66万公里,1.4升,手动,放心购_低配_会员1年,8.62
别克," GL8 2013款 3.0L GT豪华商务豪雅版-欢迎点击店铺,查看更多优惠车源",2014年,7.8万公里,3.0升,自动,放心购_会员1年,15
奔驰," 威霆 2011款 2.5L 精英版-华锋批车,本地非营运,精品车况",2012年,8万公里,2.5升,自动,放心购_低配_会员1年,12.8
大众, POLO 2004款 三厢 1.4L 手动舒适型,2004年,10万公里,1.4升,手动,放心购_低配_会员3年,0.75
大众, 朗逸 2013款 改款经典 1.6L 自动风尚版-精品车况 分期首付利率低,2017年,4.5万公里,1.6升,自动,放心购_会员6年,7.98
本田, 奥德赛 2009款 2.4L 舒适版-首付低 利率低 提车快,2010年,9.29万公里,2.4升,自动,放心购_低配,9.61
大众, 速腾 2018款 280TSI DSG舒适型-首付低 利率低 提车快,2017年,1.7万公里,1.4升,自动,放心购_会员1年,12.2
别克, GL8 2008款 陆尊XT 3.0 自动 导航版-大量新款老款各类别克商务批发,2010年,12万公里,3.0升,自动,放心购_会员1年,5.5
江铃," 经典全顺 2009款 2.8T 手动 柴油多功能型长轴中顶JX493ZLQ3-现车多,有质保,包提档过户",2013年,7.3万公里,2.8升,手动,放心购_会员1年_可分期付,4.55
别克, 英朗XT 2010款 XT 1.8L 自动时尚版-价格可谈可以分期车况好,2011年,5.5万公里,1.8升,自动,放心购_会员1年,4.5
福特, 蒙迪欧致胜 2011款 240GTDi 手自一体 至尊型-上海精品私家车,2012年,5.9万公里,2.0升,自动,放心购_高配_会员1年,6.15
吉普, 指南者 2014款 2.4 手自一体 改款四驱舒适版-首付低 利率低 提车快,2015年,3.43万公里,2.4升,自动,放心购_会员1年,13.18
铃木, 雨燕 2007款 1.3L 手动炫乐版,2007年,8万公里,1.3升,手动,放心购_会员3年,1.2
大众, 桑塔纳 2015款 1.6L 自动风尚版-首付低 利率低 提车快,2016年,1.86万公里,1.6升,自动,放心购_会员1年,7.08
奥迪, A4L 2012款 2.0 TFSI 自动标准型-首付低 利率低 提车快,2012年,12.49万公里,2.0升,自动,放心购_会员1年,13.38
长安, CS75 2014款 1.8T 自动精英型 国IV-首付低 利率低 提车快,2015年,3.66万公里,1.8升,自动,放心购_会员1年,8.15
荣威, 550 2010款 550 1.8L 自动世博风尚版-私家车手续齐全可以过户分期,2010年,5.7万公里,1.8升,自动,放心购_会员2年,2.58
起亚, K4 2014款 1.8L 自动LUX,2015年,4万公里,1.8升,自动,放心购_会员2年,8.8
大众," Multivan 2012款 2.0TSI 两驱豪华版-欢迎点击店铺,查看更多优惠车源",2012年,8万公里,2.0升,自动,放心购_会员1年,18.2
本田, 飞度 2004款 1.5L CVT,2005年,11万公里,1.5升,自动,放心购_会员3年,1.4
大众, 新宝来 2017款 1.6L 自动舒适型-首付低 利率低 提车快,2017年,4.23万公里,1.6升,自动,放心购_会员1年,9.5
丰田, RAV4 2015款 2.0L CVT两驱风尚版-首付低 利率低 提车快,2015年,5.98万公里,2.0升,自动,放心购_会员1年,14.49
现代, 名图 2014款 1.8L 自动尊贵型DLX-首付低 利率低 提车快,2016年,4.81万公里,1.8升,自动,放心购_会员1年,9.68
哈弗, H2s 2017款 蓝标 1.5T 手动舒适型-首付低 利率低 提车快,2017年,1.69万公里,1.5升,手动,放心购_低配_会员1年,6.81
斯巴鲁, XV 2014款 2.0i 精英版-首付低 利率低 提车快,2015年,5.91万公里,2.0升,自动,放心购_会员1年,12.84
福特, 锐界 2015款 2.7T GTDi 四驱尊锐型 7座-国5排放 实车拍摄 现车销售,2015年,6.7万公里,2.7升,自动,放心购_高配_会员7年,19
依维柯, 2013款 2.5TA37 客货两用高顶-13年国四加长加高依维柯好过户,2013年,9.6万公里,2.5升,手动,放心购_会员1年,7.2
大众, 甲壳虫 2015款 180TSI-首付低 利率低 提车快,2015年,8.22万公里,1.2升,自动,放心购_低配,14.29
大众, 迈腾 2015款 1.8TSI 领先型-首付低 利率低 提车快,2016年,5.17万公里,1.8升,自动,放心购_会员1年,13.99
大众, 凌渡 2019款 230TSI DSG风尚版-首付低 利率低 提车快,2019年,0.4万公里,1.4升,自动,放心购_会员1年,12.49
现代, 酷派 2006款 2.0L AT-保证无重大事故无泡水送一年质保,2006年,7.38万公里,2.0升,自动,放心购_低配_会员1年,2.98
力帆, 轩朗 2017款 轩朗 2.0L CVT 舒适型-首付低 利率低 提车快,2018年,0.61万公里,2.0升,自动,放心购_会员1年,6.6
奇瑞, 瑞虎 2014款 1.6L CVT智尚版-首付低 利率低 提车快,2014年,5.82万公里,1.6升,自动,放心购_会员1年,5.25
依维柯, 得意 2009款 2.8T 手动 V35基本型-上海最大二手车全顺依维柯,2010年,8.4万公里,2.8升,手动,放心购_低配_会员1年,2.85
马自达, 6 2006款 2.3L 自动豪华型-精品车况当天好过户,2006年,12.7万公里,2.3升,自动,放心购_会员1年,2.1
大众, 途安 2011款 1.4T 自动智臻版5座-首付低 利率低 提车快,2012年,12.08万公里,1.4升,自动,放心购_会员1年,6.37
大众, POLO劲取 2006款 劲取 1.4L 自动雅致版,2007年,11万公里,1.6升,自动,放心购_会员3年,1.82
比亚迪, F0 2008款 1.0L 舒适型,2009年,9万公里,1.0升,手动,放心购_会员3年,0.6
大众, 迈腾 2015款 改款 1.8TSI 豪华型-超高性价比,2015年,6万公里,1.8升,自动,放心购_会员3年,13.48
斯柯达, 昕锐 2013款 1.6L 自动智选型-首付低 利率低 提车快,2014年,4.82万公里,1.6升,自动,放心购_会员1年,5.27
WEY, VV7 2017款 VV7s 旗舰型-首付低 利率低 提车快,2017年,2.98万公里,2.0升,自动,放心购_高配_会员1年,15.1
吉利, 远景X3 2017款 X3 1.5L 自动尊贵型-首付低 利率低 提车快,2018年,0.76万公里,1.5升,自动,放心购_高配,6.08
雪铁龙, C4L 2013款 1.8L 自动劲享版-首付低 利率低 提车快,2014年,7.4万公里,1.8升,自动,放心购_会员1年,7.06
哈弗, H4 2018款 H4 蓝标 1.5T DCT风尚型-首付低 利率低 提车快,2018年,1.84万公里,1.5升,自动,放心购_会员1年,10.23
别克, 君威 2010款 2.4L 旗舰版-网上超低价车有猫腻谨慎购买,2010年,7.3万公里,2.4升,自动,放心购_会员2年,5.5
